city,city,lng,lat,temp,humidity,cloudiness,windspeed
112,nome,-165.41,64.5,59.0,67,1,11.41
113,bathsheba,-59.52,13.22,87.8,70,40,19.46
114,pisco,-76.22,-13.7,68.0,68,75,6.93
115,cayenne,-52.33,4.93,82.4,83,75,9.24
116,dikson,80.55,73.51,32.56,97,94,17.16
117,barcelos,-8.62,41.54,64.99,77,0,13.87
118,malanje,16.34,-9.54,61.25,42,0,2.48
119,odda,6.55,60.07,63.0,83,97,1.99
120,victoria,114.16,22.29,84.0,74,100,4.0
121,sitka,-135.33,57.05,53.6,93,90,9.17
122,vaini,-175.2,-21.2,69.8,83,20,9.17
123,saint-philippe,55.77,-21.36,69.8,64,75,11.41
124,mbini,9.61,1.57,77.23,83,100,7.0
125,half moon bay,-122.43,37.46,90.0,49,1,9.17
126,cavalcante,-47.46,-13.8,75.38,54,3,5.55
127,rawson,-65.1,-43.3,59.88,41,93,22.91
128,porto belo,-48.55,-27.16,75.99,83,20,9.17
129,tuy hoa,109.3,13.08,78.62,85,74,5.23
130,beira,34.84,-19.84,66.2,93,75,8.05
131,gazanjyk,55.52,39.24,84.47,14,0,13.65
132,kharp,65.81,66.8,33.55,91,0,6.82
133,ati,18.34,13.22,94.12,26,1,1.99
134,bambous virieux,57.76,-20.34,71.6,68,75,10.29
135,guozhen,107.36,34.37,70.9,57,24,1.83
136,sorbhog,90.87,26.5,75.65,98,100,3.49
137,bredasdorp,20.04,-34.53,48.2,87,0,4.76
138,salalah,54.09,17.02,84.2,89,20,4.7
139,chokurdakh,147.92,70.63,77.02,38,71,5.14
140,newport,-3.0,51.59,59.0,98,100,7.99
141,yellowknife,-114.35,62.46,64.0,62,20,16.11
142,viedma,-63.0,-40.81,58.84,38,100,14.94
143,saint anthony,-93.22,45.02,84.0,57,1,14.99
144,te anau,167.72,-45.42,30.54,96,17,1.03
145,stephenville,-98.2,32.22,91.0,46,40,17.22
146,xai-xai,33.64,-25.05,64.08,90,100,8.68
147,rakiv lis,24.92,51.62,64.65,92,13,6.71
148,kavaratti,72.64,10.57,84.18,80,100,15.55
149,sinnamary,-52.95,5.38,77.52,92,100,11.14
150,alice springs,133.88,-23.7,52.0,49,0,5.82
151,celestun,-90.4,20.87,86.07,64,68,6.93
152,watsa,29.54,3.04,64.54,98,98,0.76
153,vila velha,-40.29,-20.33,75.99,73,17,5.82
154,salina cruz,-95.2,16.17,92.28,51,100,10.45
155,nouadhibou,-17.03,20.93,73.4,73,0,19.46
156,mahebourg,57.7,-20.41,71.6,68,75,10.29
157,lebu,-73.65,-37.62,53.94,91,100,16.62
158,udachnyy,112.4,66.42,55.4,58,26,6.71
159,lavrentiya,-171.0,65.58,50.47,61,0,4.41
160,dunmore town,-76.65,25.5,80.44,80,100,12.82
161,chase,-119.69,50.82,77.0,43,5,1.01
162,chatham,0.53,51.38,63.0,77,3,4.0
163,airai,125.41,-8.93,58.3,100,84,4.12
164,sur,59.53,22.57,83.48,76,1,14.88
165,katobu,122.53,-4.94,75.54,89,39,5.77
166,jacareacanga,-57.75,-6.22,93.2,49,29,5.82
167,hirara,125.28,24.8,83.73,84,100,22.91
168,namibe,12.15,-15.2,70.93,70,0,2.8
169,novichikha,81.39,52.2,57.24,84,91,6.35
170,gravdal,13.5,68.12,48.2,81,40,18.34
171,tiksi,128.87,71.69,53.19,74,100,5.95
172,marathon,-89.77,44.9,82.4,39,1,10.29
173,at-bashi,75.81,41.17,47.37,59,80,3.06
174,akyab,92.9,20.15,81.81,84,100,8.9
175,port-cartier,-66.87,50.03,82.4,39,75,5.82
176,hasaki,140.83,35.73,64.4,93,90,6.93
177,severo-kurilsk,156.12,50.68,42.13,86,87,7.56
178,kruisfontein,24.73,-34.0,57.79,43,0,6.78
179,rakaia,172.02,-43.75,41.0,65,100,5.01
180,eyl,49.82,7.98,81.45,68,26,27.42
181,bone,12.14,51.97,64.0,94,100,3.0
182,san andres,-81.7,12.58,87.8,66,40,10.29
183,uvinza,30.39,-5.1,65.19,69,61,2.84
184,jhansi,78.58,25.43,91.4,41,89,12.46
185,terrace bay,-87.1,48.78,66.2,59,20,5.82
186,kargasok,80.86,59.06,45.07,80,100,15.46
187,kavieng,150.8,-2.57,82.47,72,31,4.09
188,kodinsk,99.18,58.69,52.34,67,0,6.38
189,komsomolskiy,71.72,40.43,69.8,40,12,4.7
190,lachhmangarh,75.03,27.82,95.54,37,100,18.43
191,lixourion,20.43,38.2,73.0,73,0,7.83
192,noumea,166.46,-22.28,62.6,93,89,2.24
193,comodoro rivadavia,-67.5,-45.87,59.0,41,27,20.8
194,kahului,-156.47,20.89,84.2,54,20,24.16
195,longyearbyen,15.64,78.22,44.6,65,75,8.05
196,sao gabriel da cachoeira,-67.09,-0.13,86.0,70,20,6.93
197,isangel,169.27,-19.55,66.2,100,20,12.37
198,port blair,92.75,11.67,82.83,83,99,11.9
199,chumikan,135.31,54.72,38.97,94,100,4.63
200,mao,4.27,39.89,71.6,68,0,6.93
201,santiago del estero,-64.26,-27.8,72.43,29,0,6.71
202,codrington,141.97,-38.27,51.82,74,100,16.91
203,lata,-8.33,40.16,66.0,74,0,5.1
204,kaduqli,29.72,11.02,77.9,71,100,2.3
205,otane,176.63,-39.88,55.99,89,100,11.01
206,panaba,-88.27,21.28,89.31,61,21,8.59
207,khorixas,14.97,-20.37,62.92,33,0,10.87
208,auki,160.7,-8.77,78.3,85,8,3.33
209,mount gambier,140.77,-37.83,51.8,71,84,17.22
210,karaton,106.1,-6.34,78.8,83,99,2.24
211,whithorn,-78.04,18.26,86.0,74,40,14.99
212,tura,90.22,25.52,74.46,99,100,4.36
213,boa vista,-60.67,2.82,84.2,66,40,2.24
214,srednekolymsk,153.68,67.45,77.97,33,32,2.26
215,adrar,-10.07,20.5,101.73,14,91,12.03
216,la roche-sur-yon,-1.43,46.67,61.0,72,90,8.05
217,plettenberg bay,23.37,-34.05,63.54,43,0,8.01
218,potosi,-65.75,-19.58,55.67,25,35,1.28
219,saint-georges,-61.75,12.06,84.2,74,40,14.99
220,port augusta,137.77,-32.5,55.4,50,0,17.22
221,dergachi,48.77,51.23,67.41,88,100,13.96
222,el salto,-104.5,20.33,90.36,30,0,2.3
223,muncar,114.33,-8.43,77.45,87,51,8.1
224,matara,80.54,5.95,80.04,89,78,7.67
225,sao joao da barra,-41.05,-21.64,77.0,61,44,13.87
226,dengzhou,120.75,37.81,67.91,83,18,8.9
227,batagay-alyta,130.41,67.8,69.19,42,3,1.21
228,ayagoz,80.44,47.97,55.38,66,0,6.64
229,kwinana,115.77,-32.25,51.01,100,90,8.12
230,ponta do sol,-17.1,32.67,71.6,73,20,8.05
231,atherton,-2.49,53.52,57.99,93,100,3.0
232,lompoc,-120.46,34.64,70.0,64,0,13.87
233,norman wells,-126.83,65.28,73.4,40,75,9.17
234,zhigansk,123.37,66.77,62.22,66,32,7.58
235,brae,-1.35,60.4,53.6,93,73,11.41
236,esmeraldas,-44.31,-19.76,71.6,43,20,9.17
237,sola,167.55,-13.88,79.81,76,99,18.45
238,coos bay,-124.22,43.37,81.0,68,1,17.22
239,asau,26.4,46.43,62.01,93,36,3.47
240,valpacos,-7.31,41.61,62.01,25,1,1.01
241,atar,-13.05,20.52,109.4,23,1,11.41
242,port-gentil,8.78,-0.72,77.0,83,90,6.93
243,gamba,10.0,-2.65,73.6,87,94,5.37
244,cherskiy,161.3,68.75,69.85,36,0,8.23
245,deputatskiy,139.9,69.3,70.86,48,55,1.3
246,yumen,97.2,40.28,68.49,23,18,0.56
247,salinas,-121.66,36.68,84.0,44,1,16.11
248,doha,51.53,25.29,98.6,18,0,13.87
249,college,-147.8,64.86,71.01,42,40,5.82
250,santa cruz de tenerife,-16.25,28.47,72.0,82,20,21.92
251,arlit,7.39,18.74,95.4,9,0,2.3
252,sept-iles,-66.38,50.2,82.4,39,75,5.82
253,kamenka,42.77,51.32,71.01,74,0,5.01
254,hamilton,-84.53,39.18,82.99,51,75,6.93
255,waingapu,120.26,-9.66,75.51,83,7,12.08
256,bethel,-73.41,41.37,80.01,57,40,11.41
257,la ronge,-105.28,55.1,57.2,41,75,11.41
258,soto la marina,-98.22,23.77,91.99,63,5,11.01
259,pevek,170.31,69.7,41.09,71,17,8.88
260,krasnokamensk,118.04,50.1,58.24,63,0,1.16
261,husavik,-17.34,66.04,57.2,54,75,4.7
262,ozernovskiy,156.52,51.5,42.49,88,100,4.25
263,stromness,-3.3,58.97,54.0,93,100,11.41
264,zyryanka,150.85,65.75,75.9,35,66,7.47
265,gorontalo,123.06,0.54,74.77,88,100,2.04
266,hailar,119.7,49.2,57.25,90,87,4.47
267,hvolsvollur,-20.22,63.75,50.0,81,75,20.8
268,gambela,34.58,8.25,70.7,93,100,1.16
269,vangaindrano,47.6,-23.35,66.25,88,87,6.13
270,high level,-117.14,58.52,68.0,64,20,9.17
271,saint george,-113.58,37.1,87.01,12,1,9.17
272,bardiyah,25.09,31.76,71.78,73,0,17.72
273,qaanaaq,-69.36,77.48,35.71,84,0,1.39
274,wajima,136.9,37.4,67.01,84,100,5.46
275,vardo,31.11,70.37,44.6,81,33,16.11
276,independence,-94.42,39.09,89.6,46,75,12.75
277,umm kaddadah,26.69,13.6,87.51,41,3,13.15
278,dabakala,-4.43,8.37,75.38,87,100,9.17
279,cap-aux-meules,-61.86,47.38,80.6,47,40,18.34
280,hami,93.45,42.8,82.02,21,32,18.52
281,bunia,30.25,1.57,63.72,85,98,3.27
282,wanning,110.4,18.8,80.96,89,41,9.64
283,buala,159.59,-8.14,80.35,79,1,4.34
284,sorland,12.69,67.67,48.2,81,40,18.34
285,bobo dioulasso,-4.3,11.18,77.0,78,48,5.82
286,sao felix do xingu,-51.99,-6.64,83.62,57,1,5.84
287,usakos,15.6,-22.0,63.93,33,0,13.31
288,nobres,-56.33,-14.72,87.57,41,94,2.98
289,talnakh,88.4,69.49,44.6,70,84,11.18
290,maine-soroa,12.02,13.21,93.67,32,69,3.71
291,hokitika,170.97,-42.72,49.68,61,100,9.4
292,margate,1.39,51.38,63.0,77,30,3.0
293,mersing,103.84,2.43,75.2,100,92,2.24
294,baruun-urt,113.28,46.68,64.04,60,43,11.68
295,banda aceh,95.32,5.56,79.36,77,74,8.21
296,obo,26.49,5.4,69.31,93,100,3.2
297,cabo san lucas,-109.91,22.89,93.2,40,20,8.05
298,caravelas,-39.25,-17.71,72.5,89,3,8.32
299,lorengau,147.27,-2.02,82.29,78,45,8.88
300,lakes entrance,147.98,-37.88,47.53,75,46,5.19
301,lander,-108.73,42.83,64.4,23,1,3.36
302,danielskuil,23.54,-28.19,44.22,61,0,6.26
303,sarangani,125.46,5.4,84.04,75,100,12.39
304,wagar,36.2,16.15,84.18,49,53,28.92
305,kuytun,101.5,54.34,51.44,62,62,6.76
306,makkaveyevo,113.95,51.75,44.6,81,6,2.24
307,opuwo,13.84,-18.06,57.88,46,0,7.38
308,jalu,21.55,29.03,83.48,23,0,10.89
309,padang,100.35,-0.95,78.42,76,99,3.94
310,neuquen,-68.06,-38.95,57.2,44,100,6.93
311,jiuquan,98.52,39.74,72.36,21,80,4.12
312,fortuna,-124.16,40.6,66.2,77,20,10.29
313,vila franca do campo,-25.43,37.72,64.4,82,75,12.75
314,banyo,11.82,6.75,67.14,90,100,2.1
315,kysyl-syr,122.76,63.9,59.65,85,71,2.98
316,nanortalik,-45.24,60.14,40.24,79,91,7.25
317,puerto colombia,-74.95,10.99,87.8,70,40,8.05
318,wetaskiwin,-113.37,52.97,60.01,51,75,2.24
319,makokou,12.86,0.57,70.79,94,17,1.03
320,aleksandro-nevskiy,40.21,53.48,66.09,87,7,7.09
321,wegrow,22.02,52.4,72.0,70,0,7.4
322,fairbanks,-147.72,64.84,71.01,40,1,3.44
323,coahuayana,-103.68,18.73,87.8,55,40,11.41
324,lasa,10.7,46.62,51.8,81,40,9.17
325,dingle,122.67,11.0,75.67,93,100,9.17
326,sumbawanga,31.62,-7.97,54.45,71,1,4.99
327,rognan,15.39,67.1,55.0,78,1,3.0
328,constantine,6.61,36.37,75.2,53,40,5.82
329,lufilufi,-171.6,-13.87,75.0,94,96,4.0
330,beaverlodge,-119.44,55.22,68.0,52,20,3.36
331,san felipe,-68.74,10.34,78.78,86,100,3.8
332,melfort,-104.62,52.87,46.4,81,90,12.75
333,marawi,124.29,8.0,73.99,96,93,5.01
334,carbonia,8.52,39.17,73.99,83,40,8.05
335,oeiras do para,-49.85,-2.0,87.33,63,82,2.82
336,tingi,35.03,-11.3,54.63,90,1,2.89
337,luang prabang,102.13,19.89,74.88,87,74,0.83
338,nibbar,8.77,36.29,89.6,27,20,6.33
339,isoka,32.63,-10.16,53.24,83,6,0.56
340,haicheng,122.75,40.85,64.47,67,21,2.04
341,baherden,57.43,38.44,86.02,14,0,9.66
342,los llanos de aridane,-17.92,28.66,73.4,73,40,14.99
343,santa fe,-60.7,-31.63,64.0,67,57,1.99
344,progreso,-89.67,21.28,91.99,59,75,13.87
345,alofi,-169.92,-19.06,73.4,73,21,17.22
346,sahuaripa,-109.23,29.05,102.51,12,0,10.85
347,constitucion,-72.42,-35.33,55.62,86,100,23.76
348,kurumkan,110.3,54.3,48.36,52,0,3.31
349,walvis bay,14.51,-22.96,77.0,22,0,11.41
350,baihar,80.55,22.1,74.5,85,100,6.33
351,meulaboh,96.13,4.14,78.04,84,78,5.01
352,jintur,76.7,19.62,78.22,77,100,13.44
353,dongsheng,109.98,39.82,69.55,32,10,8.1
354,awbari,12.78,26.59,83.1,14,0,7.78
355,sisimiut,-53.67,66.94,41.85,67,45,14.2
356,labuan,115.24,5.28,78.8,94,75,3.36
357,dom pedrito,-54.67,-30.98,67.5,84,7,7.52
358,maxixe,35.35,-23.86,66.2,83,2,9.22
359,zhangjiakou,114.88,40.81,62.44,71,50,3.96
360,chuy,-53.46,-33.7,62.67,78,43,13.44
361,channel-port aux basques,-59.14,47.57,58.01,78,74,13.71
362,roebourne,117.13,-20.78,68.61,59,0,3.18
363,upernavik,-56.15,72.79,36.21,82,0,11.27
364,mosetse,26.65,-20.75,50.25,78,0,14.63
365,dzerzhinskoye,95.23,56.83,55.2,79,85,2.95
366,port macquarie,152.92,-31.43,53.01,97,70,2.42
367,clyde river,-68.59,70.47,33.8,88,90,10.29
368,koutiala,-5.46,12.39,92.89,43,100,6.6
369,vila do maio,-23.22,15.13,84.2,54,0,26.4
370,biltine,20.92,14.53,85.66,25,23,3.51
371,esperance,121.9,-33.87,46.4,93,40,11.41
372,bloemhof,25.61,-27.65,42.35,66,0,3.02
373,polunochnoye,60.42,60.87,39.74,72,0,4.27
374,saint-joseph,55.62,-21.37,69.8,64,75,11.41
375,markova,24.41,48.68,68.0,77,40,4.47
376,paamiut,-49.67,61.99,38.79,84,88,11.99
377,bantry,-9.45,51.68,60.8,76,90,5.82
378,bud,-86.18,39.45,84.0,39,1,3.36
379,kaitangata,169.85,-46.28,42.15,81,25,11.07
380,iqaluit,-68.51,63.75,42.8,74,90,11.41
381,rivera,-55.55,-30.91,64.9,85,1,6.46
382,balaipungut,101.28,1.05,75.24,95,100,1.99
383,smithers,-127.17,54.78,62.6,63,90,4.7
384,omsukchan,155.8,62.53,63.43,43,100,1.43
385,ewa beach,-158.01,21.32,78.8,74,75,16.11
386,port lincoln,135.87,-34.73,59.58,45,70,20.71
387,sanivarsante,75.9,12.73,68.63,95,100,7.05
388,bonavista,-53.11,48.65,55.31,77,100,5.26
389,flinders,150.86,-34.58,50.0,87,12,1.01
390,the valley,-63.06,18.22,89.6,66,40,16.11
391,cockburn town,-71.14,21.46,87.8,62,40,13.87
392,redmond,-122.12,47.67,73.0,60,38,6.31
393,soubre,-6.61,5.79,73.02,95,99,2.8
394,kongolo,27.0,-5.38,73.02,58,72,3.09
395,jeremie,-74.12,18.65,85.48,64,31,3.18
396,ketchikan,-131.65,55.34,59.0,100,90,21.92
397,qaqortoq,-46.03,60.72,46.4,61,40,9.17
398,coolum beach,153.1,-26.53,59.0,91,11,3.0
399,ostrov,28.35,57.34,73.4,73,0,2.24
400,sergeyevka,67.42,53.88,45.64,75,0,6.4
401,lingyuan,119.4,41.24,65.39,60,17,1.61
402,adre,22.2,13.47,78.33,51,72,8.63
403,micheweni,39.83,-4.97,78.06,78,17,16.8
404,matagami,-77.63,49.75,89.6,25,1,10.29
405,la mira,-102.33,18.04,87.71,57,2,10.92
406,muisne,-80.03,0.6,80.6,94,90,8.05
407,whitehorse,-135.05,60.72,59.0,51,75,11.41
408,waitati,170.57,-45.75,44.01,75,54,8.99
409,anadyr,177.48,64.75,66.2,55,99,4.47
410,ambon,128.18,-3.7,80.01,94,75,4.7
411,grenaa,10.88,56.42,71.6,68,26,1.12
412,weligama,80.42,5.97,80.4,90,80,7.31
413,gat,34.76,31.61,75.0,76,1,6.26
414,alexandria,29.96,31.22,73.4,78,40,13.87
415,tabat,115.23,-2.63,74.57,97,100,0.78
416,polczyn-zdroj,16.1,53.76,64.0,81,99,1.01
417,cidreira,-50.21,-30.18,70.75,80,89,7.63
418,ipixuna,-48.8,-1.76,86.0,66,75,6.93
419,leningradskiy,178.42,69.38,44.58,60,83,5.41
420,benemerito de las americas,-90.64,16.52,89.65,60,89,2.86
421,batouri,14.37,4.43,69.13,95,97,2.51
422,totness,-56.32,5.88,81.14,85,99,9.26
423,longonjo,15.25,-12.91,56.48,48,0,4.38
424,pacific grove,-121.92,36.62,84.0,33,1,5.82
425,bayanday,105.51,53.07,47.88,67,1,6.71
426,tripoli,13.19,32.88,82.78,31,0,9.22
427,mingyue,128.92,43.11,52.88,91,48,2.8
428,maceio,-35.74,-9.67,80.6,69,40,16.11
429,saint-augustin,-58.65,51.23,55.26,87,100,5.1
430,san juan,-68.54,-31.54,64.56,26,76,4.0
431,copiapo,-70.33,-27.37,66.2,52,82,17.22
432,valparaiso,-71.63,-33.04,55.4,66,100,6.93
433,numan,12.03,9.47,77.5,81,78,7.99
434,san quintin,-115.95,30.48,66.96,61,0,12.53
435,dunhua,128.24,43.37,48.72,95,19,2.21
436,badvel,79.05,14.75,84.18,59,99,11.77
437,san ramon,-121.98,37.78,91.99,12,1,5.82
438,mitsamiouli,43.28,-11.38,77.47,62,0,12.86
439,viransehir,39.76,37.24,75.51,36,0,11.68
440,tanete,119.78,-3.94,75.43,92,100,5.68
441,brownfield,-102.27,33.18,96.8,23,1,4.7
442,tumut,148.22,-35.3,43.29,84,3,2.8
443,qui nhon,109.23,13.77,79.81,81,100,6.13
444,ouesso,16.05,1.61,74.41,75,3,1.01
445,carnot,15.87,4.94,72.59,84,100,1.54
446,teshie,-0.11,5.58,80.6,83,75,12.75
447,bay city,-83.89,43.59,84.2,35,1,4.7
448,sooke,-123.73,48.37,63.0,87,75,9.17
449,nikolskoye,30.79,59.7,68.0,72,75,4.47
450,karratha,116.85,-20.74,68.76,55,0,3.36
451,mashhad,59.61,36.3,75.2,22,0,6.93
452,paratebueno,-73.22,4.38,73.4,94,75,4.7
453,tres picos,-93.53,15.87,85.53,67,97,3.94
454,stornoway,-6.39,58.21,64.99,77,48,9.17
455,quatre cocos,57.76,-20.21,71.6,68,75,10.29
456,baglung,83.59,28.27,71.38,82,100,1.23
457,dudinka,86.18,69.41,44.6,70,100,11.18
458,atbasar,68.33,51.8,48.25,67,0,8.52
459,santa isabel do rio negro,-65.02,-0.41,80.17,93,79,4.09
460,nioro,-15.75,13.35,90.37,46,3,14.29
461,harper,-7.72,4.38,78.44,77,100,4.88
462,bilma,12.92,18.69,92.17,15,10,6.51
463,ostrovnoy,39.51,68.05,57.34,61,100,6.44
464,nova prata,-51.61,-28.78,73.0,52,86,5.37
465,hede,120.25,33.77,62.96,89,38,5.82
466,rio grande,-52.1,-32.03,64.4,88,75,1.12
467,fuyang,115.82,32.9,66.76,92,0,3.6
468,ventspils,21.56,57.39,64.4,88,11,4.7
469,uray,64.78,60.12,43.54,62,73,4.03
470,lyubymivka,33.57,46.81,68.58,79,57,5.64
471,qasigiannguit,-51.19,68.82,33.8,71,90,6.93
